Year;Author;Title;ID;ID_2;Exp_ID;Effect_ID;ES_ID;Type_of_study;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Temperature;Test_Data;Recruitment_Country;Career_stage;Prior_LLM_training_of_physicians;Control_group_resources;Treatment_group_resources;Pre-training_of_LLM;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Input_Form_Patient_Information_clinician;Follow_Up_Prompts_Allowed;Time_restrictions;Explanation_Format_of_LLM;Time_lag_sessions;Type_of_Results;N_total;N_physicians_total;N_cases_total;N_assessments_total;Same_Cases_Both_Conditions;h_design;h_unit_level;h_var_level;h_n_pairs;h_r_used;h_r_source;h_b;h_c;h_measure_class;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;Performance_Difference_SD;Performance_Difference_SE;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Correlation_r_between_conditions;Discordant_b;Discordant_c;Reader_cluster_adjusted_SD_SE_CI;h_icc
2025;Atakır et al.;Diagnostic accuracy and consistency of ChatGPT-4o in radiology: influence of image, clinical data, and answer options on performance;Atakır et al. (2025);1;11;1;111;peer-reviewed;Radiology;GPT-4o;"website (ChatGPT web interface; for the model-only runs prompts were generated and submitted via a controlled Python-based interface)";NR;NR;default;unknown;Türkiye;Resident;0;0;0;0;Real-world (published) cases;Multiple choice;0;Multimodal (text + image);multimodal (text + image);0;NR;Free text;1 week;Top-1;"UNCLEAR (3 physicians, or 387 clinician-case assessments per condition (3 x 129); the paper reports only a group ""mean accuracy"" - see Note)";3;129;774;1;within_subject;physician-case;physician-case;387;NR;from_bc;75;32;proportion;63.04;129;3;387;NR;NR;NR;NR;74.16;129;3;"UNCLEAR (3 physicians or 387 clinician-case assessments; see Note)";NR;NR;NR;NR;"NR (only the two group means are reported; no difference, no dispersion)";NR;NR;NR;NR;NR;NR;NR;NR;;75;32;NR;
2025;Atakır et al.;Diagnostic accuracy and consistency of ChatGPT-4o in radiology: influence of image, clinical data, and answer options on performance;Atakır et al. (2025);1;11;2;112;peer-reviewed;Radiology;GPT-4o;"website (ChatGPT web interface; for the model-only runs prompts were generated and submitted via a controlled Python-based interface)";NR;NR;default;unknown;Türkiye;Resident;0;0;0;0;Real-world (published) cases;Multiple choice;1;Text;text;0;NR;Free text;1 week;Top-1;"UNCLEAR (3 physicians, or 387 clinician-case assessments per condition (3 x 129); the paper reports only a group ""mean accuracy"" - see Note)";3;129;774;1;within_subject;physician-case;physician-case;387;NR;from_bc;138;14;proportion;42.89;129;3;387;NR;NR;NR;NR;74.93;129;3;"UNCLEAR (3 physicians or 387 clinician-case assessments; see Note)";NR;NR;NR;NR;"NR (only the two group means are reported; no difference, no dispersion)";NR;NR;NR;NR;NR;NR;NR;NR;;138;14;NR;
2025;Atakır et al.;Diagnostic accuracy and consistency of ChatGPT-4o in radiology: influence of image, clinical data, and answer options on performance;Atakır et al. (2025);1;11;3;113;peer-reviewed;Radiology;GPT-4o;"website (ChatGPT web interface; for the model-only runs prompts were generated and submitted via a controlled Python-based interface)";NR;NR;default;unknown;Türkiye;Resident;0;0;0;0;Real-world (published) cases;Multiple choice;1;Multimodal (text + image);multimodal (text + image);0;NR;Free text;1 week;Top-1;"UNCLEAR (3 physicians, or 387 clinician-case assessments per condition (3 x 129); the paper reports only a group ""mean accuracy"" - see Note)";3;129;774;1;within_subject;physician-case;physician-case;387;NR;from_bc;58;12;proportion;71.57;129;3;387;NR;NR;NR;NR;83.47;129;3;"UNCLEAR (3 physicians or 387 clinician-case assessments; see Note)";NR;NR;NR;NR;"NR (only the two group means are reported; no difference, no dispersion)";NR;NR;NR;NR;NR;NR;NR;NR;;58;12;NR;
2026;Çamur et al.;Prospective quantitative analysis of hyperparameter and input optimization in GPT-5: comparative contribution to radiologist performance in abdominal radiology;Çamur et al. (2026);2;21;1;211;peer-reviewed;Radiology;GPT-5;browser interface (https://chatgpt.com);GPT-5-2025-08-08;"browser-based build GPT-5-2025-08-08 (all browser queries on the same day); study conducted July 2024 - November 2025; unaided reading July 2024, browser-assisted August 2025, optimal-setting-assisted November 2025";NR;unknown;Türkiye;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);0;NR;Differential;13 months;Top-1;86;1;86;172;1;within_subject;case;case;86;NR;from_bc;12;0;proportion;73.26;86;1;86;NR;NR;63;82;87.21;86;1;86;NR;NR;79;94;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; Supplementary Table 2 contains only the case corpus, not the per-case reader scores => author contact required)";NR;NR;NR;"0.0008 (Table 4; R1 without vs R1 with browser-based GPT-5 assistance)";NR;NR;NR;;12;0;NR;
2026;Çamur et al.;Prospective quantitative analysis of hyperparameter and input optimization in GPT-5: comparative contribution to radiologist performance in abdominal radiology;Çamur et al. (2026);2;21;2;212;peer-reviewed;Radiology;GPT-5;"OpenAI API (https://platform.openai.com); fixed model identifier";NR;"browser-based build GPT-5-2025-08-08 (all browser queries on the same day); study conducted July 2024 - November 2025; unaided reading July 2024, browser-assisted August 2025, optimal-setting-assisted November 2025";1.5;unknown;Türkiye;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);0;NR;Differential;16 months;Top-1;86;1;86;172;1;within_subject;case;case;86;NR;from_bc;18;0;proportion;73.26;86;1;86;NR;NR;63;82;94.19;86;1;86;NR;NR;88;99;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; Supplementary Table 2 contains only the case corpus, not the per-case reader scores => author contact required)";NR;NR;NR;"0.0005 (Table 4; R1 without vs R1 with GPT-5 optimal-setting assistance). Browser-based vs optimal-setting assistance: P = 0.031 (Table 4)";NR;NR;NR;;18;0;NR;
2026;Çamur et al.;Prospective quantitative analysis of hyperparameter and input optimization in GPT-5: comparative contribution to radiologist performance in abdominal radiology;Çamur et al. (2026);2;22;1;221;peer-reviewed;Radiology;GPT-5;browser interface (https://chatgpt.com);GPT-5-2025-08-08;"browser-based build GPT-5-2025-08-08 (all browser queries on the same day); study conducted July 2024 - November 2025; unaided reading July 2024, browser-assisted August 2025, optimal-setting-assisted November 2025";NR;unknown;Türkiye;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);0;NR;Differential;13 months;Top-1;86;1;86;172;1;within_subject;case;case;86;NR;from_bc;15;2;proportion;70.93;86;1;86;NR;NR;61;80;86.05;86;1;86;NR;NR;78;93;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; Supplementary Table 2 contains only the case corpus, not the per-case reader scores => author contact required)";NR;NR;NR;"0.0006 (Table 4; R2 without vs R2 with browser-based GPT-5 assistance)";NR;NR;NR;;15;2;NR;
2026;Çamur et al.;Prospective quantitative analysis of hyperparameter and input optimization in GPT-5: comparative contribution to radiologist performance in abdominal radiology;Çamur et al. (2026);2;22;2;222;peer-reviewed;Radiology;GPT-5;"OpenAI API (https://platform.openai.com); fixed model identifier";NR;"browser-based build GPT-5-2025-08-08 (all browser queries on the same day); study conducted July 2024 - November 2025; unaided reading July 2024, browser-assisted August 2025, optimal-setting-assisted November 2025";1.5;unknown;Türkiye;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Multimodal (text + image);multimodal (text + image);0;NR;Differential;16 months;Top-1;86;1;86;172;1;within_subject;case;case;86;NR;from_bc;24;4;proportion;70.93;86;1;86;NR;NR;61;80;94.19;86;1;86;NR;NR;88;99;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported; Supplementary Table 2 contains only the case corpus, not the per-case reader scores => author contact required)";NR;NR;NR;"0.0002 (Table 4; R2 without vs R2 with GPT-5 optimal-setting assistance). Browser-based vs optimal-setting assistance: P = 0.002 (Table 4) - the Results text instead reports P = 0.028 for this contrast (inconsistency, flagged)";NR;NR;NR;;24;4;NR;
2024;Cesur et al.;Empowering Radiologists with ChatGPT-4o: Comparative Evaluation of Large Language Models and Radiologists in Cardiac Cases ;Cesur et al.;3;31;1;311;peer-reviewed;Radiology;GPT-4o;ChatGPT;NR;NR;NR;unknown;Türkiye;Attending;0;NR;NR;0;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image);0;NR;Differential;0;Top-1;240;3;80;480;1;within_subject;physician-case;physician-case;240;NR;from_bc;29;1;proportion;0.591666667;80;3;240;NR;0.491525403;NR;NR;0.708333333;80;3;240;NR;0.454529671;NR;NR;0.116666667;;NR;NR;NR;NR;NR;NR;NR;NR;29;1;NR;
2024;Cesur et al.;Empowering Radiologists with ChatGPT-4o: Comparative Evaluation of Large Language Models and Radiologists in Cardiac Cases ;Cesur et al.;3;32;1;321;peer-reviewed;Radiology;GPT-4o;ChatGPT;NR;NR;NR;unknown;Türkiye;Attending;0;NR;NR;0;Real-world (published) cases;Open-ended;1;Text;text;0;NR;Differential;0;Top-1;80;1;80;160;1;within_subject;case;case;80;NR;from_bc;12;0;proportion;0.4875;80;1;80;NR;0.499843726;NR;NR;0.6375;80;1;80;NR;0.480722113;NR;NR;0.15;;NR;NR;NR;NR;NR;NR;NR;NR;12;0;NR;
2026;Chen et al.;Grounding large language models in clinical diagnostics;Chen et al. (2026);4;41;1;411;peer-reviewed;General medicine;ClinDiag-GPT;"API within the authors' ClinDiag-Framework (Autogen-based two-agent system); base model Qwen2.5-72b open-source, fine-tuned model not released; demo at clindiag.streamlit.app";"ClinDiag-GPT, base Qwen2.5-72b-Instruct (alternatives fine-tuned: Qwen3-32b-instruct, Qwen2.5-32b-instruct); LoRA SFT, max sequence length 16,384 tokens";NR;0.3;internal;China;Resident;0;NR;NR;1;Real-world (published) cases;Open-ended;1;Text;text;1;"NR (no time limit reported; a maximum of 50 doctor-provider interaction rounds per stage)";Differential, free text;"NR (parallel-group design; different physicians in the two arms, no repeated measurement)";Top-1;20;6;20;40;1;parallel;case;case;;NR;none;;;proportion;25;20;3;20;NR;NR;11.19;46.87;30;20;3;20;NR;NR;14.55;51.9;"NR (not reported as a difference; arm accuracies given as proportions with 95% CI in Suppl. Table 24)";NR;NR;NR;NR;Collaboration vs Physician: McNemar chi2 = 0.25, P = .617, Bonferroni-adjusted P = 1.0 (not significant) [Suppl. Table 25];NR;NR;NR;;;;NR;
